Day,series-1,series-2,series-3,series-4,series-5,series-6,series-7,series-8,series-9,series-10,series-11,series-12,series-13,series-14,series-15,series-16,series-17,series-18,series-19,series-20,series-21,series-22,series-23,series-24,series-25,series-26,series-27,series-28,series-29,series-30,series-31,series-32,series-33,series-34,series-35,series-36,series-37,series-38,series-39,series-40,series-41,series-42,series-43,series-44,series-45,series-46,series-47,series-48,series-49,series-50,series-51,series-52,series-53,series-54,series-55,series-56,series-57,series-58,series-59,series-60,series-61,series-62,series-63,series-64,series-65,series-66,series-67,series-68,series-69,series-70,series-71,series-72
2015-11-15,372391,507166,3243,3950,107762,190445,195317,294519,137834,65286,17211,20551,529975,723080,958555,1236017,755874,460745,4611,6631,340555,243414,343476,247812,287570,391847,2519,3470,160000,88857,162934,101300,375895,500181,25300,31340,110758,140052,263996,378738,8629,17444,1433,2294,7791,15569,998,1661,579771,766870,8635,10646,333464,217833,228548,318532,34708,58086,934,1078,25994,5142,6319,18264,145095,238133,3259,2252,94595,133503,63913,93612
2015-11-16,301648,427210,3421,4110,122025,281638,190320,167428,142593,68433,14554,19333,604853,847407,719535,1037002,844515,544173,5510,6525,451966,320517,369388,244408,243292,308756,2814,3248,153882,88585,107136,68384,342198,460092,17731,27557,119599,148196,229416,314104,12698,19311,1763,2463,12348,18074,915,1196,510870,693076,7246,9601,310969,203911,193776,265683,36442,61956,809,1041,29552,3953,4997,15352,129742,192731,3572,2649,93360,117935,47134,79159
2015-11-17,291263,438075,2824,3076,117979,216611,144980,168814,131953,69440,13438,18096,624544,860797,690664,1129830,885767,535369,5327,6008,531050,326927,377153,254854,237838,312080,2391,2852,150956,88282,111810,70622,373122,459106,19701,25892,123739,239373,257929,296443,13301,19754,1838,2801,12458,18619,1153,1381,554425,818355,6905,8976,330284,202036,210008,274930,35546,61196,719,865,29983,4480,5049,14718,143813,213943,2771,2314,100268,136286,42648,66621
2015-11-18,293267,421755,3290,3629,115361,215891,141971,299063,136867,86714,16129,17591,835074,896386,648169,1007288,891364,515423,5221,7100,535820,320319,374421,232071,232460,313835,2638,3153,145425,85574,100173,65956,415837,446062,19723,24228,122420,189486,239972,290671,14641,30759,1638,2205,13736,31578,1327,2090,545322,699746,7363,9951,307751,201701,195163,264925,40328,61175,753,879,31406,6369,5950,15340,138848,236350,3743,2577,139571,155811,47661,64967
2015-11-19,265201,418987,3740,4367,108572,181649,142794,173013,123311,72668,18376,22358,649492,878521,670145,973962,964619,491554,6923,11625,523795,353766,353911,220097,223519,295750,3378,3988,144977,87464,99956,70466,393956,471511,21150,26820,127456,172805,229191,303534,13801,23811,2403,3488,13055,22912,1208,1473,536350,694112,8742,11297,305463,196932,201271,279965,37467,71310,1013,2579,33514,4529,4699,15396,140059,205356,4698,3188,107539,142912,45608,69827
2015-11-20,290074,397926,3075,3852,101944,164298,126204,180663,115368,73220,16922,23098,621876,818872,709886,1048197,744608,414893,6004,8511,411895,271589,293050,200779,244556,291604,2923,3279,133267,82800,99669,67158,403583,498732,21523,29522,139399,164055,229303,374003,12270,20469,2320,4008,11729,19754,1004,1264,525390,709102,8752,10783,303400,191282,190957,280224,34744,69016,729,2869,29050,3993,5013,15107,133583,184887,3386,3012,98097,125928,48511,71266
2015-11-21,332243,405773,4007,4657,92327,140803,168337,250173,114528,62935,15427,23930,529174,777104,899394,1231106,623642,425542,5215,6290,320301,208896,284135,238020,319434,330175,2866,3245,136062,80146,129978,96089,413778,494911,25816,30450,115395,143745,255501,392759,8350,14585,1719,3267,7452,13843,842,1057,543175,719274,8916,11393,283371,186080,240820,313852,27695,56566,746,1243,23857,5019,4897,15658,154204,257101,4010,3158,104072,135241,72912,103024
2015-11-22,357058,595151,3470,4304,105640,189721,200577,311322,126675,70810,15728,24529,567122,747316,954590,1336404,798971,493781,5361,6855,388488,244964,349964,251284,344456,385492,3929,4343,164517,97300,141317,117336,458596,513187,30692,33461,137265,145200,339191,380378,8325,14923,1694,2889,7226,14749,899,1133,588713,791509,9068,11478,328562,204261,266058,306365,29882,58434,930,1144,22899,3903,5382,17913,151286,262950,4764,3144,108199,145144,68098,98057
2015-11-23,286203,407685,4109,4764,115533,199571,146132,170854,139432,74535,15322,20451,642129,903869,774932,1256104,899200,543003,5205,7456,524896,314189,357264,246193,258558,322946,3089,3735,158521,94588,95077,109934,465396,526008,28219,37878,152570,162855,308173,396287,12495,18811,2132,3021,11759,17579,901,1244,536278,736226,7453,9188,319361,199464,209708,267267,33558,66545,705,855,29270,5021,5095,16701,134236,216582,3813,2735,110578,124922,50263,69869
2015-11-24,262377,354192,3307,4058,115533,188426,108918,135618,120887,78023,19317,25092,620041,855902,773291,1117258,908757,585044,6627,8056,556550,339430,387134,344232,244607,504499,3071,3768,160198,90484,110860,81334,401358,638929,24942,31613,144654,190721,247811,478326,14797,25236,1374,3038,13608,24381,1290,1255,540445,746064,8322,10552,312404,191931,216879,266819,31896,68998,648,877,26960,4093,4895,15422,125353,200424,4020,2986,95142,118725,45567,63012
2015-11-25,277588,382270,2953,3573,118472,192018,124400,136914,117368,66223,19294,24599,763687,884062,792007,1219970,890190,604552,5852,8734,542095,352885,379504,288322,271380,343293,2963,3711,166718,96076,114757,79089,351465,635868,21579,24722,124499,229860,215353,430907,13156,24065,2221,3921,12516,22380,1172,1400,557552,907914,8130,10463,351689,200427,224095,304707,32627,66876,791,927,27487,4059,4789,15631,129368,189453,3702,3046,98677,113978,44053,59713
2015-11-26,277320,391171,3320,3808,113053,211560,118653,153177,119706,64432,18170,26858,564906,812981,831793,1405756,819204,531180,6605,9724,469696,316360,361225,239435,239196,332051,3660,4372,162763,94326,103710,80054,361231,450565,21296,25818,129033,148231,211371,314495,16235,23904,3006,3902,14859,22164,1785,1966,536880,829780,8601,10950,336403,223610,228360,268509,34916,68451,841,1129,27476,4276,5083,15367,126337,179443,4062,3323,94757,112220,42028,59789
2015-11-27,286879,355595,3071,3585,100616,180040,135156,146595,126928,63207,15828,20253,526229,741920,833260,1500388,688458,442830,6424,8010,365201,260053,315808,206014,260333,294650,3166,3815,144332,87032,97910,63833,337214,441038,19136,24035,114101,141479,203847,316186,11809,19927,1915,4000,10828,18875,1119,1479,512903,751188,7592,9342,285724,224173,223130,257887,34245,62641,608,767,26274,3591,5388,16381,122718,175710,3534,3021,87329,105284,43809,63212
2015-11-28,324832,387309,4469,4720,122249,164539,186704,207001,124451,96583,17728,21481,532865,711717,1049807,1434975,599803,425510,5433,6627,297397,202289,298763,221361,326333,331952,3348,3647,138020,89538,133673,83127,444730,476231,22109,27511,103625,147808,315889,363949,9184,17201,2264,3799,8500,16181,912,1322,524021,756668,14840,9997,276260,201198,229770,289716,27679,60029,697,872,23381,7878,7381,16783,140645,198704,4412,3408,87254,104387,60284,80391
2015-11-29,369832,478982,3456,3807,131403,225779,222722,226074,136697,94002,17988,22954,612974,785355,1115050,1511132,724520,504332,4951,6332,346173,231500,386439,267621,390571,413900,3680,3694,171722,104341,187850,90408,391587,534525,25475,32318,104941,139044,319280,402758,10325,16371,1601,2965,9275,15584,1130,1357,580901,828264,8336,10427,320990,218156,238761,309932,28751,74575,685,803,27831,3448,6560,17058,167647,229471,4194,3111,97309,129189,64072,89481
2015-11-30,314412,392748,2952,3408,162328,229695,173722,136464,147851,89048,17574,22281,766045,967563,907112,1228348,782589,550283,5457,7516,461765,294121,377957,234889,266230,343921,3185,3921,185820,98989,108763,68476,389898,423767,28532,24878,115868,150012,267343,300615,12674,18137,2430,3393,11151,16262,1723,1865,583855,819572,7303,9367,351265,218693,221839,276714,33752,68608,567,711,31606,4172,5318,15458,137161,199352,3578,2808,100476,114396,45285,64280
2015-12-01,272604,369431,3553,3878,136458,204614,124298,127769,140566,80547,20324,26550,752685,951608,779232,1157306,754379,511242,7013,7827,470267,293938,346518,238109,255618,333767,4407,4797,164683,99276,103233,64856,374559,463380,21548,32112,136935,173502,222050,344210,14619,23809,2813,4378,13784,23612,1015,1229,559618,758876,7985,10535,312555,283311,208290,274894,40396,63825,737,984,29377,4717,5209,15264,140188,201442,3960,3165,93154,119306,46000,63945
2015-12-02,261687,356450,3765,4300,131283,200367,126383,126389,135449,75150,22168,28528,656287,970191,744147,1113269,780494,494362,7092,9252,500374,280765,328059,235001,265753,358948,3749,3936,171281,99349,104036,73062,417222,464174,21457,26828,152002,162009,249570,361784,15422,30698,2336,4182,14505,30780,1356,1620,575219,748675,7572,9660,316187,200705,232406,275925,35471,65224,762,1162,30158,4598,5630,15483,158666,233557,3878,3456,95664,137740,49169,81383
2015-12-03,330609,359153,3563,4038,130409,195295,125026,139573,131693,71720,20198,26403,699297,1066951,802338,1223773,708664,486806,6020,8018,418569,267791,318330,224244,287636,323936,3211,3296,155996,92505,97770,74170,380956,436523,19968,24589,121482,154698,232176,333251,14751,27188,5001,9599,13953,27241,1120,1476,587858,746369,7478,9688,339874,208832,204590,278868,32654,63761,819,1150,28397,5590,5105,14325,149264,210684,3558,3083,95183,131786,47074,71264
2015-12-04,282628,367702,3138,3549,118712,195081,120318,136557,132344,73971,21751,28126,655477,941800,786005,1199636,609394,437599,5162,8046,347755,224476,301640,204135,328126,309061,2994,3523,144890,88396,109776,74196,397237,500937,21772,27111,114513,166099,223302,413370,15493,30241,4324,8773,14709,28431,1207,1672,532123,713093,7881,10223,302018,199644,216082,273399,31910,61764,849,1064,26115,4459,5028,14494,153630,188850,4050,3450,101239,115471,52247,66893
2015-12-05,317032,374692,4370,4929,95423,169883,161341,238869,119407,66357,17276,21959,545406,776008,887424,1362811,498639,384140,4936,6904,244754,165973,264833,204246,281261,332985,3711,3606,136675,83559,139714,93903,440418,485393,30656,30953,106522,150595,285274,425456,8292,15866,1728,2818,7640,14922,815,1081,567538,702554,8590,10634,297156,214883,263263,305565,28538,59314,676,919,25237,4446,4554,16034,159365,203401,4363,3423,90109,112489,62556,86215
2015-12-06,381956,476628,2846,3580,121377,186764,211531,242599,135388,71601,15824,20791,611084,853440,1040252,1633055,592165,450960,4241,5797,271329,190128,312803,244622,296087,360927,3174,3871,159640,97354,171040,93135,453636,521660,29794,34935,106812,142175,336380,402997,10032,24136,2940,13118,9236,24457,990,1326,654381,807608,8120,10104,341754,245085,246966,341597,28735,59031,671,828,22411,3732,5191,16606,172809,234958,3606,2976,101963,117860,65289,92575
2015-12-07,323215,402431,3093,3457,141506,205611,159853,153848,141753,76872,20116,24458,723041,1057937,884876,1346541,708685,539740,4940,6305,377418,285189,358205,267530,281817,330645,3391,4059,168225,98326,126643,73508,378563,448492,21304,25564,120739,156648,243195,310485,11312,17674,1848,3263,10733,16592,816,1246,562571,740361,7817,10084,316566,241234,215321,278181,36035,87361,736,953,27580,13539,5481,15552,158936,189050,3782,3299,104589,119790,47890,67276
2015-12-08,291508,393004,3253,3667,140354,194448,135071,152714,149333,74167,20367,25193,745063,995907,849913,1254490,739689,587943,5486,7328,385805,290647,366158,300973,254135,323762,2951,3440,165004,93732,116667,68223,405231,427560,20170,26364,114808,159294,237281,304330,15933,23823,2824,9083,15017,22837,1305,1543,542497,729065,7796,10071,316396,217389,206754,286931,36256,67754,604,708,29721,7442,5236,15943,152135,193492,6166,2984,96321,120508,45720,66815
2015-12-09,270065,430118,2648,3367,146579,194124,154431,177515,144750,74721,19648,26173,695840,964902,959672,1173764,714066,510508,5263,6741,397782,283329,323222,249129,242406,334190,2805,3274,164034,100448,113078,71755,365197,429460,18819,24553,112468,162700,218630,303395,19633,39177,8191,21560,18583,40334,1571,1872,538756,698951,7658,9975,312918,218821,211611,272730,35265,67578,730,893,28432,8475,4779,16475,161847,200764,3368,2631,100570,122629,48335,75053
2015-12-10,301709,427943,3263,3899,141632,208494,123499,167495,155358,70454,21650,28666,759489,991445,866806,1160057,691755,535655,6864,8095,381911,283091,327168,255342,259646,311734,3581,4210,149203,102120,111356,70895,381131,448170,21077,25486,115544,180359,251846,359837,14771,23101,3996,7496,13548,22391,1324,1589,557738,718987,7624,9744,321190,243455,242947,279015,33277,66786,737,974,27457,7895,4790,15727,152017,195323,4423,3666,98263,128771,46126,70987
2015-12-11,284343,375482,3087,3657,132797,187813,135492,155452,136274,73580,19711,24802,698851,933969,915346,1176237,612421,439667,5261,6925,326472,218921,283023,211684,256440,311897,3013,3511,145461,100263,120054,80697,397775,479303,20937,28884,120983,162290,233004,331109,12472,22202,3167,4987,11423,20728,1327,1643,542219,716888,7605,9904,310895,217225,226520,270510,30628,63252,614,858,29507,6339,4997,19362,157943,185480,4181,3593,95965,119380,47398,71226
2015-12-12,310994,382101,3947,4621,111521,146066,179898,205768,144176,61448,16800,21538,579095,775282,959929,1340407,609686,422256,4676,6453,258734,181195,295666,223822,294932,335772,2927,4260,151873,96305,156390,122978,506317,570970,26119,41250,119364,154965,350603,463957,9062,18894,2583,4117,8191,16842,1018,1306,595738,741914,8396,11136,297149,229925,249337,304434,30420,56805,621,832,24303,5237,5554,17460,174074,255917,5098,4196,92882,119403,61687,99875
2015-12-13,426310,488617,3562,4224,130141,177578,226625,267457,150044,71251,19619,25958,651449,889409,1209101,1597596,657506,499947,5574,6127,289471,206882,341432,273544,310315,395580,4780,5992,169320,113220,188948,114216,552827,564661,32939,37595,121606,160695,410448,426986,9157,16043,2545,4074,8225,14996,1062,1296,683486,900950,9842,12104,365260,261179,265076,357382,28926,58240,877,1076,22502,5687,5526,17089,206832,237456,4596,3237,110889,126692,70875,115985
2015-12-14,316874,414916,3151,3635,150890,207229,146623,157597,155317,72254,20785,25917,800295,1129399,956338,1459143,729826,553574,5390,6917,384449,272161,359924,267935,251724,344422,3910,4214,170799,110298,123781,76263,447947,511422,27552,31261,138771,161854,289195,327967,12432,20175,2503,4686,11886,19121,1219,1438,601828,765886,8041,10058,342999,237438,226988,297983,32348,68952,681,871,27624,8062,4839,16316,182430,198995,3983,3083,115495,119410,52915,81641
2015-12-15,282281,381203,3468,3932,146463,214426,136269,141815,142130,72678,22623,28706,780033,1050044,922283,1298755,636679,490565,5515,6835,373553,258571,311497,255847,252445,313407,2748,3372,159359,106622,113363,71903,446525,738288,22533,46922,130488,161198,414578,324556,12457,19970,2727,4845,11834,18616,1143,1460,550889,702506,7799,9568,314235,225448,218103,277612,34008,72902,791,998,28934,6967,4769,15875,160522,195514,3697,3231,101627,119227,46883,79781
2015-12-16,283896,393884,3446,4071,134076,201408,153412,148256,143478,68943,20773,26822,770553,994865,967538,1248784,626986,491271,6973,7017,335764,250987,297357,232130,280024,343048,2995,3328,167730,121018,132023,88759,465912,533871,23989,33255,128769,168271,308188,347335,41580,26211,4116,6440,37816,23447,2704,4050,552900,749595,8437,11012,318882,216567,228427,279150,39099,72902,878,1069,30753,7779,5333,16734,152164,185774,4179,3714,101393,114467,47490,72654
2015-12-17,288342,447291,3283,4132,134734,218011,130775,182052,140682,66241,21144,26548,741155,979957,976144,1246022,559736,464828,5760,7055,299124,234357,270680,224445,261716,333263,3194,3303,157627,119575,117653,85331,404617,507068,25274,25247,135462,209377,274438,340572,14658,23956,3151,5418,14323,22656,1227,1547,661449,778111,8670,11250,359647,247871,247723,299626,38035,68612,1138,1328,30999,8066,5163,15447,147841,169350,3740,3277,91086,110779,45842,67798
2015-12-18,383628,362334,3320,4042,146941,174807,179644,176687,127154,64373,23113,28925,752503,951937,993849,1362957,504055,405129,5030,6336,253082,212030,246734,203835,310586,298006,3014,3044,146432,104359,118966,102624,631577,571399,35507,34184,164797,222145,407787,390915,12999,20280,2509,4325,12440,19148,1105,1417,592353,744520,9331,11945,352191,250865,251266,296167,30791,66553,979,1213,28223,6423,4548,15865,145390,164743,4369,3236,87632,104557,47745,72603
2015-12-19,355408,376668,4596,4930,118929,135556,216318,205470,119946,58271,21211,27584,620358,818379,1112369,1666150,502817,441148,4965,5994,210246,180058,317366,247626,399549,397773,2985,3460,136453,112066,181731,117031,553473,578794,30752,36781,144204,155932,373355,401525,8185,13157,2150,3571,7470,12194,1057,1315,597850,723071,8872,11453,335047,257291,299566,318075,28022,62428,888,1308,27587,4303,4450,16475,160379,183802,4094,3570,89949,105477,69140,90098
2015-12-20,448195,608181,3853,5262,145378,186247,306228,308917,145014,61906,24622,31011,678826,893175,1271966,1832463,654674,536770,5639,7065,266800,205498,301813,357954,426687,413461,4051,5047,152128,134154,195278,138904,558610,571535,33423,35532,132428,155699,414955,438337,9952,14363,2727,4614,8844,13572,982,1439,665096,810214,9876,12717,389518,303076,277116,328131,28287,63105,965,1346,23905,5061,5142,17702,174973,222360,4058,3093,103144,117221,70434,106389
2015-12-21,334425,409607,3086,3845,152808,211552,152929,181241,132574,62857,23768,27063,805168,1147365,1325577,1552914,715630,442477,4823,7847,284058,264393,345215,231694,367875,364835,3271,3734,160622,139082,160954,103858,506062,507716,26999,26233,146057,166908,325927,315584,13233,20964,2809,4463,12041,18968,1293,1620,601842,759449,8981,11385,372086,271163,241896,299745,35974,69747,902,1260,27093,5777,5048,17761,154134,203497,3668,3045,101095,119329,49744,83663
2015-12-22,348212,379154,3427,4115,139646,187240,141530,206694,129481,63493,22311,28682,738150,1027453,1131826,1450106,570455,450988,5237,6959,267701,202082,334028,210062,309450,357803,3195,3588,150282,119744,163293,97635,560301,502626,27847,27840,136701,174007,326131,335092,12187,19603,2787,4724,11361,18336,1097,1437,592157,740519,9189,12073,387396,244965,228853,287804,32377,71367,1154,1271,28587,5388,4488,17389,156521,194534,4073,3716,98764,113873,48041,81303
2015-12-23,298424,392387,3905,4475,141296,158636,146321,170557,151182,59561,20176,25653,674941,1307155,1027137,1599003,497388,420714,5081,6284,211945,188737,302085,196062,289890,321579,3212,3664,145898,107021,151291,92821,625940,608195,36881,32207,128621,156229,357855,477423,14505,22376,2471,4233,12500,20277,1104,1329,555086,681467,8718,10880,338501,229421,221622,278128,32189,64639,1087,1333,25561,5508,4607,17244,151910,193030,3856,3517,99014,116829,49395,78599
2015-12-24,366618,495601,3577,4171,110314,121775,215778,235636,144159,54605,17870,27287,601686,985718,1122753,1692038,454311,376363,4414,5564,158415,146217,274580,191215,305617,291564,2515,3112,115056,76350,160220,88372,534965,473764,27477,27040,119492,175059,315921,345075,10614,15847,3198,6082,9111,14318,1784,2036,535383,660943,5632,7426,318703,229214,214984,267400,28325,55753,894,1278,22022,4076,4886,16956,147029,180478,3433,2833,94906,114213,49814,74627
2015-12-25,455420,607388,3951,4672,114185,139281,260378,375963,144485,52442,17328,23525,531834,793493,1179823,1823214,458484,346272,5084,5341,136454,113603,270779,210976,375714,331612,3104,3507,103424,72503,182665,125284,567337,732639,41301,36228,141986,184670,378162,568199,8116,13279,2595,4717,7236,12239,1127,1416,530787,636744,7734,9806,312208,224927,211823,269881,27120,59032,1033,1604,20539,3384,5143,18537,154757,195782,4681,4053,93383,111621,56760,89088
2015-12-26,491211,618729,4700,5651,115521,172775,294623,389964,120039,59509,17383,24151,686874,769573,1299264,1814385,532820,461413,5228,6214,188302,163348,354262,248113,408756,347966,2800,3559,126221,91926,171313,120345,589781,632743,29669,38635,129799,240561,449997,453130,9455,16275,2341,4563,8574,14180,1003,1444,531745,616588,9089,10917,294378,218023,218949,292756,27928,74275,880,1343,20139,3731,5342,19993,185576,239834,4492,3431,107717,123089,80512,113072
2015-12-27,624255,592970,3638,4421,136896,176960,371376,362349,148787,68627,16443,21805,676846,789116,1425218,1765691,558690,452066,4692,6027,191342,174407,397994,264039,475525,415857,3337,3774,148276,106506,194622,122835,498524,560283,29618,30591,116591,186692,368922,447656,10680,16091,2694,4502,9747,14477,1171,1549,575125,662334,9095,11116,318910,235955,246381,286877,35248,84231,890,1147,25930,3824,5967,29507,202013,261718,3563,2737,110743,139281,98139,114146
2015-12-28,463340,487149,3801,4596,133343,182841,222283,254915,137655,64707,16441,22520,746373,899859,1307210,1620085,579912,453201,4770,7447,241970,288145,329869,260441,490569,394998,3538,4048,160201,117555,172174,113629,628717,729558,25145,28497,123721,225590,333448,553352,11327,17417,2573,3792,10552,16460,1007,1327,503268,603863,8980,10937,309062,215701,193457,237510,37005,74361,998,1277,28414,4041,5251,23695,180315,255795,4249,3181,118799,152148,70380,94577
2015-12-29,487352,452766,3905,4294,117230,176758,317777,251216,124357,64187,21865,30526,852633,907218,1365707,1532885,543704,439704,4666,6364,237556,311302,321227,233530,536158,408103,2977,3793,216371,152149,158343,168335,544500,597065,25830,31448,117502,193012,341056,448742,11617,17947,2185,3864,10781,16279,1100,1392,472315,564607,8617,10207,281478,293652,172666,228491,36646,71303,846,1041,28421,9730,5614,22359,167399,232898,3871,2821,111186,132560,61595,88930
2015-12-30,397757,439332,3704,4205,118578,171792,240013,228417,129979,69757,20294,26719,782093,868536,1309702,1508700,532724,437239,4914,5532,221925,208836,300104,285121,401680,381445,3069,3634,177826,124654,158334,129547,687794,553461,26420,35757,111848,172950,499795,432211,12232,18252,2339,3795,11495,16545,1084,1312,463775,511401,8161,10017,272599,213695,200451,221439,35078,67090,829,1066,25597,6947,5189,21049,158866,219760,4200,3411,106667,131147,59347,83669
2015-12-31,394635,539572,3560,4422,118059,142076,256424,235376,114170,59415,20871,26850,666691,758667,1254073,1384549,442027,381426,5844,7034,175432,152308,287264,253543,491053,333175,2690,3306,133582,96752,170793,110196,874863,838988,47906,50348,133694,181443,536434,848204,10794,15720,2569,4292,9543,13618,1290,1541,534578,569270,7145,8940,249792,151368,267388,332614,26334,59668,968,1362,20053,4844,5194,19247,153205,194579,4313,3769,95872,116329,56020,81178
2016-01-01,482401,592171,3633,4417,127696,167620,336819,330975,125416,364509,29951,38687,628907,756889,1474724,2138071,451867,414995,5085,5753,140111,116348,356741,248381,534625,515424,2618,3131,164103,104339,301273,204772,555812,782611,30998,63518,113047,153248,431247,687163,8758,12574,2218,4074,7881,11212,1049,1321,699201,796450,7132,9355,312369,189264,328660,468823,30182,65070,858,1555,21679,6147,5722,20624,188099,240986,4098,3243,100559,125137,81432,115847
2016-01-02,512442,600894,4676,5431,158057,205826,326506,301957,514260,94499,31151,40459,731970,864267,1397141,2136142,606752,518575,4356,5630,208416,172543,427882,298125,462652,500496,2719,3155,183350,120902,205179,178521,571219,770248,32192,38983,137049,172646,396777,683356,9767,15265,2524,4286,8811,13351,1111,1560,721917,726075,8524,10086,322670,230644,374118,359361,34584,63023,2009,1483,26934,23046,6160,19558,219136,260374,4152,3423,111080,138244,94412,133934
2016-01-03,508259,653188,4277,5148,147488,230030,302432,346523,1726250,70147,29104,38094,871141,1003336,1431566,2148777,626426,538301,4768,5994,216874,178843,418328,294634,453140,516687,3408,3744,199413,135635,205728,212634,617885,755481,46923,35319,142816,181929,575534,617531,9170,14156,2073,3480,8267,12982,988,1317,667103,703919,8686,10198,329737,232940,302633,338577,35720,65466,1180,1037,26921,13329,6348,20430,226045,308031,4357,4039,129121,149165,100488,142281
2016-01-04,920779,464643,3820,5317,200100,270707,201966,255803,720226,72726,28785,39953,924364,1088315,1220528,1647037,646432,512225,5077,5914,297965,215779,354998,276732,397408,419235,3544,3782,227077,151637,154683,120687,557334,687383,32514,39414,161532,230530,392027,508694,13990,21063,2150,4339,12906,19546,1299,1990,688079,762607,9350,11623,344301,231972,321573,329198,37404,82184,961,1170,29489,10893,6524,18398,183373,236999,4266,3709,132965,142233,62690,90199
2016-01-05,569215,440327,3817,5680,227065,250015,179190,223245,486202,78198,31916,40933,921042,1031647,1063317,1477092,599243,494821,6057,6713,304380,212256,336142,267153,509545,401288,3523,3486,247069,154682,250365,163912,759765,703859,30344,49213,192060,332529,439410,482642,13664,22543,2826,5230,12612,21022,1558,2038,622249,693240,9246,11495,320728,233121,267178,319175,38330,84231,1043,1445,36246,10111,6236,17982,177707,229501,4561,3922,128491,139770,59677,86741
2016-01-06,491784,495259,4350,5243,233738,235145,239453,216085,340063,71396,31740,41795,1098122,999068,1026547,1440436,594278,454661,6136,7804,290328,201916,340064,235681,450320,362709,3424,3914,211579,354097,182946,106947,664477,646490,36035,38451,185379,245601,447379,423487,16273,26163,3028,4151,15053,24402,1956,2373,603969,674150,9939,12133,318562,238940,261142,321722,36832,81573,1324,1460,34261,9852,9901,21972,180521,247612,4838,3927,149710,145582,63260,90008
2016-01-07,420443,493642,3852,4570,229373,230807,194779,187752,272513,72294,25065,31651,888452,1638842,1005877,1396846,658483,470082,5836,7678,327236,222226,335681,278038,337984,384708,2947,3298,193385,131129,133380,99246,655917,691962,40621,31677,189687,210349,512800,409151,14127,22041,2740,4259,13279,20336,1200,1518,674638,721252,9823,11951,340501,245634,293432,343807,38032,78883,1019,1311,34831,9533,6743,18395,174027,241270,4690,4268,135478,142190,58499,86920
2016-01-08,467016,576813,4192,5064,185278,231515,276646,203829,610878,70179,23291,29997,917459,1160687,1157471,1414503,688099,499972,6524,7580,355401,221488,349654,269447,372477,424325,3218,3608,276670,126985,187567,113132,575364,612763,34539,32656,176988,200216,386600,498098,14548,23348,3475,6304,13947,21438,1301,1758,746656,766922,12648,12518,349335,250371,318856,352366,38972,74485,998,1281,35350,7944,6352,18242,176665,230713,5698,4740,131821,135793,60074,89344
2016-01-09,476330,529523,5023,6474,170406,205348,239543,245924,279928,64984,23326,28837,741128,2302403,1287182,1759737,573910,506968,4528,5888,255106,183165,354502,258024,396587,447119,2891,3512,341009,123218,192701,189415,627454,595973,32936,40426,162651,200716,441613,486873,10363,15984,2196,3494,9459,14680,1139,1422,754456,838050,9954,11025,391453,262459,353689,406246,34880,96990,2746,1297,28655,22787,21918,19945,208315,246918,5409,4528,122401,137382,84460,117034
2016-01-10,599662,634077,3983,4857,205159,236569,271786,359768,807119,74232,22917,27983,854281,1383372,1392765,1857040,741459,647697,5485,6796,293968,226850,442331,315326,411433,464165,3700,4060,204492,139379,203819,212072,798191,740661,49370,43317,183450,257798,466513,555128,10185,16252,2020,3165,9164,14858,1108,1878,784951,765774,10301,11752,382337,271199,334455,370945,37162,66482,1076,1306,32985,6289,8110,20017,214509,262776,5939,4847,130738,141086,86436,118535
2016-01-11,433575,492583,4436,5120,324154,269547,184402,182643,574856,74378,27444,29610,1390887,3112594,1521057,2323763,889832,682762,7330,7412,444242,316916,464938,316253,361294,435339,3568,4069,215656,270357,143542,121610,894552,1310840,43388,58495,188234,341596,502631,1432328,13625,19131,2784,4302,12749,17855,1201,1454,717203,716494,9895,11361,384991,348664,263428,311177,44553,73084,919,1243,36718,8149,9447,20455,287423,236573,5309,4544,147219,215341,64668,90262
2016-01-12,345807,438949,5061,5832,451959,339069,151321,156723,314087,72234,25027,29442,2024610,1442132,1186152,1609650,903255,981402,6800,7641,791719,312043,434108,311671,314541,375892,2854,3541,199098,171677,118199,121265,675831,771093,30184,42543,331821,291088,407773,583738,13583,20733,2109,3190,12800,19581,1103,1872,718261,713337,8923,11104,365499,295484,235209,328392,41153,70857,1032,1514,32002,17763,11380,19201,256097,220924,5498,5455,142756,199455,61410,86010
2016-01-13,360032,523257,5057,4953,219980,441004,162640,171381,251063,73965,25394,36733,937367,1175401,913251,1542059,882824,634157,6559,6975,483413,321000,415974,302632,303459,378369,2693,3272,197797,146587,122304,121343,744680,785584,31994,42503,181168,258351,403095,483813,16389,23577,3258,5558,15780,22286,1253,1585,812694,739291,9131,11323,372459,337918,250841,385916,38389,71688,1776,1150,29837,6250,7577,17841,241116,225413,6720,5509,132217,189154,61301,91428
2016-01-14,423949,477491,4508,5730,226177,227634,175706,163225,643077,70275,23382,31108,985120,1200124,884743,1403048,854496,563130,6684,7338,609120,312062,400438,299623,325798,393129,3549,3949,194464,139332,147063,109207,613879,768486,36429,39730,164493,292816,335848,537256,16903,24722,3254,5051,15376,21940,1608,2255,707699,744280,11392,13278,383558,363635,243682,322829,38405,68780,1173,1447,30645,6761,7242,18828,336166,234319,5578,6345,206518,173586,88550,105104
